Gene	Microglia	Oligodendrocyte Mature	Oligodendroctye Myelinating	Oligodendroctye Precursor Cells	Committed Oligodendroctye Precursor Cells	Cerebrospinal Fluid-Contacting Neurons	Alpha motor neurons	Gamma motor neurons	Inhibitory	Epyndemal	Excitatory	Astrocyte	Endothelial	Vascular and Leptomeningeal Cells
0610007P14Rik	NA	0.255164762320894	0.241746889207614	0.130025094040885	0.156652089997591	NA	0.281939170354487	0.220540545695615	0.186294366213298	0.0851256530758749	0.175705586690869	0.120475425905517	0.103142124625879	0.117041147196131
0610009O20Rik	0.149906337799172	0.12229372311903	0.0785674201318386	0.136394462459347	0.110096376512636	0.25	0.204124145231932	0.234082294392261	0.165719726621998	0.114540532248182	0.133938162404019	0.122285999743944	0.103142124625879	0.106721701823439
0610010F05Rik	0.184637236468999	0.231513461906262	0.187845189191336	0.235527977411841	0.227238376153715	0.21596710639534	0.716510753631687	0.75962215850155	0.398755109661667	0.236514749052436	0.324838924644975	0.177261530733884	0.342997170285018	0.13586706002962
0610030E20Rik	0.184637236468999	0.110073279531974	0.111455642515071	0.0864585626556352	0.0919462140612284	0.14142135623731	0.175863114528165	NA	0.0976255256866937	0.0851256530758749	0.078153489728688	0.0633283218345015	0.103142124625879	0.0672672793996312
0610037L13Rik	NA	0.13572101947584	0.111455642515071	0.101004738057873	0.0810128754570563	0.14142135623731	0.252645576319956	0.263523138347365	0.120133383350167	0.0851256530758749	0.115330985102201	0.102686542001519	NA	0.106721701823439
0610040J01Rik	0.375904705778056	0.182156448495401	0.0640841336112001	0.154960500699494	0.0566025141980128	NA	0.175863114528165	0.275838642183685	0.145323983788983	NA	0.110816624573	0.0542525639180773	NA	0.047511433814558
1110004F10Rik	NA	0.141339716867683	0.165260171758799	0.126819146803546	0.136213750873644	0.191273013919001	0.100503781525921	0.163299316185545	0.149457742846429	0.0851256530758749	0.141957772618715	0.113685921181634	NA	0.138303194204478
1110008F13Rik	0.149906337799172	0.074848118856512	0.0640841336112001	0.0761860339856396	0.0600480576769077	NA	0.100503781525921	NA	0.117908628015323	NA	0.078340265671946	0.100259628303675	0.180578779628654	0.127869292321891
1110008P14Rik	0.105409255338946	0.0373456843486636	0.0452678730212593	0.0406389919054146	NA	NA	0.100503781525921	0.201346816564207	0.052546738120159	NA	0.0574047952669907	0.019156525704423	NA	NA
1110017D15Rik	NA	0.0794162302769058	0.0908153218373	0.0575197308543051	0.0489995957550025	0.14142135623731	0.204124145231932	0.263523138347365	0.112281715101798	0.120824418666035	0.109966670479047	0.0383341585914639	NA	NA
1110032A03Rik	NA	0.12229372311903	0.106109335953396	0.0864585626556352	0.085074295211124	0.14142135623731	NA	0.189405489524151	0.0712306165774759	0.212397697621437	0.0894392146116689	0.0698490872130478	NA	0.063800911508867
1110032F04Rik	NA	NA	NA	0.0287242494810713	NA	NA	NA	0.114707866935281	NA	NA	0.0213303083307689	0.0270963907301702	NA	NA
1110034G24Rik	0.149906337799172	0.155974283693658	0.222162605260124	0.164177114202077	0.158929942236206	NA	0.261488180184245	0.392651994602213	0.187593736041208	0.0851256530758749	0.17576519033968	0.136119850470775	0.268765256273358	0.159386815778093
1110037F02Rik	0.214422506967559	0.272933783208726	0.249106376812523	0.203610246166352	0.259186978082997	0.14142135623731	0.320358154109047	0.386333704643128	0.318708519467052	0.212397697621437	0.270244968384346	0.2136632537346	0.323498319610315	0.252246696992713
1110038F14Rik	0.105409255338946	0.0878595370213959	0.101639453522718	0.0575197308543051	0.0600480576769077	NA	0.100503781525921	0.114707866935281	0.0774715865467355	NA	0.0694518486363381	0.0792172857929481	0.103142124625879	0.0672672793996312
1110051M20Rik	0.142054117143114	0.30065406854663	0.38719386057639	0.282566907075934	0.305970718634271	0.462910049886276	0.632455532033676	0.673325980226271	0.446969022000709	0.321208037219811	0.435031461866298	0.276186375897434	0.259645393444749	0.29201742743783
1110059E24Rik	0.149906337799172	0.227885189029045	0.291924146067531	0.1460262763665	0.200919888003813	NA	0.294883912309794	0.290700949866906	0.165184377313398	0.172132593164774	0.157291211673617	0.19469223947212	0.259645393444749	0.188343251304025
1110059G10Rik	NA	0.0457548917453887	0.0452678730212593	0.0497929597731969	0.0346271680532222	NA	0.100503781525921	NA	0.0479573560955966	NA	0.0579236934469574	0.0469668218313862	NA	NA
1110065P20Rik	NA	NA	NA	0.0406389919054146	NA	NA	NA	NA	NA	NA	NA	0.0312920463770375	NA	0.047511433814558
1190002N15Rik	NA	0.138291208648135	0.173076673047239	0.0814800843726711	0.110096376512636	NA	0.142857142857143	0.163299316185545	0.103285543640174	0.142798869494385	0.0739926761530151	0.11404524257567	NA	0.0672672793996312
1190007I07Rik	NA	NA	0.0452678730212593	0.0406389919054146	0.0489995957550025	NA	NA	NA	0.0567700281465869	NA	0.045003516037041	0.0428667670893307	NA	NA
1500009L16Rik	NA	0.0263981838674227	0.0452678730212593	0.0705053365746256	0.0489995957550025	NA	0.192450089729875	NA	0.238696144262256	NA	0.104390261756218	0.0680495581240425	NA	0.175285802787181
1500011K16Rik	NA	0.0499326363806779	0.0785674201318386	NA	0.0776150525706333	NA	0.100503781525921	0.114707866935281	0.0428845013935118	NA	0.047739480405262	0.019156525704423	NA	NA
1500015O10Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.139856720255013	0.0158970659108583	NA	NA	NA
1600002H07Rik	NA	0.052851642258169	NA	0.0610215070911801	0.069379231313596	NA	0.100503781525921	0.114707866935281	0.0679000703105592	0.0851256530758749	0.0641077027697668	0.0469668218313862	NA	NA
1600002K03Rik	NA	0.0457548917453887	0.0607830673854831	0.0497929597731969	0.0346271680532222	0.14142135623731	NA	NA	0.0479573560955966	0.0851256530758749	0.047739480405262	0.0383341585914639	NA	NA
