genes	brain	SP
0610007P14Rik	0.178891041888116	0.195870098818418
0610009O20Rik	0.144382926119693	0.160487914937603
0610010F05Rik	0.325608795425755	0.362317021160738
0610030E20Rik	0.0902312873856247	0.0976405978003391
0610037L13Rik	0.119820419771628	0.138344818862678
0610040J01Rik	0.138879581788953	0.137228736052734
1110004F10Rik	0.137089428308777	0.151640514436428
1110008F13Rik	0.0887199714849308	0.0984886331696757
1110008P14Rik	0.0414862560455003	0.0621250304507189
1110017D15Rik	0.0923976096919582	0.124588475174385
1110032A03Rik	0.0956464611127574	0.101554410698946
1110032F04Rik	0.0186132167624291	0.023802502726712
1110034G24Rik	0.184755357853714	0.200112590816339
1110037F02Rik	0.27106981137845	0.29101327569443
1110038F14Rik	0.0720848824745433	0.0840013503841694
1110051M20Rik	0.401059581562437	0.433271097916777
1110059E24Rik	0.18069395653191	0.192310470310494
1110059G10Rik	0.0529215953152922	0.0578070667297766
1110065P20Rik	0.0250266629646159	0.0218098199860328
1190002N15Rik	0.131880476890179	0.120795625550154
1190007I07Rik	0.0451780964500098	0.0500231642356648
1500009L16Rik	0.104814598719443	0.140689905930316
1500011K16Rik	0.0436652082218587	0.0499895054549489
1500015O10Rik	0.0183375836135944	0.0144239104294098
1600002H07Rik	0.0586012458411061	0.0682039913050845
1600002K03Rik	0.0395762152923867	0.0459751164316823
1600012H06Rik	0.0454340719748137	0.0436221031350889
1600014C10Rik	0.0858890088939521	0.120946580353916
1700001C02Rik	0.0202530079111327	0.0117766652020204
1700001L19Rik	0.0392437786077374	0.0413908312012873
1700001O22Rik	0.0322001616509259	0.0402547561288144
1700001P01Rik	0.0325241301322564	0.0393166756987773
1700003F12Rik	0.02156224557852	0.0192334367747743
1700006E09Rik	0.00761320788697256	0.00961538461538462
1700007G11Rik	0.0967923696427692	0.0936842679108099
1700007K13Rik	0.0186132167624291	0.0265250636511369
1700008O03Rik	0.0464441564336188	0.0663692496105503
1700010I14Rik	0.0569663400480317	0.0855765813411418
1700011H14Rik	0.00722250223583874	0.0117766652020204
1700011I03Rik	0.0585981047105922	0.045569349499822
1700011L22Rik	0.0329480973621821	0.0290023250645869
1700012B09Rik	0.0109197631987668	0.0152043123112404
1700012P22Rik	0.0235968850501553	0.038317405597944
1700013F07Rik	0.0364945827876558	0.0297837586495224
1700014D04Rik	0.0163827385626719	0.0225547682155007
1700016C15Rik	0.0112926048874493	NA
1700016K19Rik	0.0170725404053279	0.0152043123112404
1700017B05Rik	0.0462923198370574	0.0387054688999898
1700017N19Rik	0.00340465113863222	0.0135988359894568
1700018C11Rik	0.00680942067691919	NA
1700019B03Rik	0.0207140067968635	0.0296482579527008
1700019D03Rik	0.104405573731595	0.103681055740899
1700019N19Rik	0.0152910718048417	0.0166558746885991
1700020L24Rik	0.00340465113863222	NA
1700021F05Rik	0.105108450468283	0.127689766914455
1700021F07Rik	0.00680942067691919	0.00679894651686529
1700022I11Rik	0.0198561551035461	0.0254469755794763
1700024G13Rik	0.0090081734779661	NA
1700024P16Rik	0.0535335672765896	0.0265250636511369
1700025G04Rik	0.392882401658908	0.469815164929933
1700028K03Rik	0.0311533347537806	0.0347769473873081
1700028P14Rik	0.0516895690978078	0.0375208240930842
1700029I15Rik	0.0268671565835499	0.0346880102135179
1700029J07Rik	0.0823550803912332	0.104288088080949
1700030J22Rik	0.0449595945901951	0.0499895054549489
